k,seed,c_v,c_npmi,c_umass,topic_diversity,mean_top20_jaccard,mean_cosine_redundancy,mean_js_distance_redundancy,n_topics_0_studies,n_topics_1_study,n_topics_lt3_studies,n_topics_lt5_studies,margin_mean,prop_conf_lt_0.40,prop_conf_0.40_0.60,prop_conf_gt_0.60,model_path
2,0,0.366485935781552,-0.027691118717777977,-0.46147684358839536,0.975,0.02564102564102564,0.44604170322418213,0.5378237453707935,0,0,0,0,0.7655128348917997,0.0,0.09090909090909091,0.9090909090909091,models\fulltext\k02_seed00.model
2,1,0.23620006247053849,-0.06804343598159347,-0.5432533130571463,0.9,0.1111111111111111,0.4085620641708374,0.4525153761308178,0,0,0,0,0.8118345090015557,0.0,0.0,1.0,models\fulltext\k02_seed01.model
2,2,0.33147051170079966,-0.03640268967244487,-0.508425089272473,0.95,0.05263157894736842,0.4808255732059479,0.4929367093465158,0,0,0,0,0.7048883243405175,0.0,0.12121212121212122,0.8787878787878788,models\fulltext\k02_seed02.model
2,3,0.25315291640994597,-0.04941345867349593,-0.534578679910021,0.975,0.02564102564102564,0.4946087896823883,0.4821469129993464,0,0,0,0,0.7578973955616509,0.0,0.10606060606060606,0.8939393939393939,models\fulltext\k02_seed03.model
2,4,0.2305939127567152,-0.056840515339494656,-0.5035081297379003,0.925,0.08108108108108109,0.41962239146232605,0.4473289862683537,0,0,0,0,0.7857308358405851,0.0,0.06060606060606061,0.9393939393939394,models\fulltext\k02_seed04.model
2,5,0.31229728208061286,-0.05413425387567071,-0.5740126569265338,0.95,0.05263157894736842,0.47689786553382874,0.5223017179768141,0,0,0,0,0.7295413735251769,0.0,0.10606060606060606,0.8939393939393939,models\fulltext\k02_seed05.model
2,6,0.3424519103536715,-0.02565819746004459,-0.4972400935761684,0.95,0.05263157894736842,0.47181031107902527,0.5219135725146447,0,0,0,0,0.7692511869681491,0.0,0.015151515151515152,0.9848484848484849,models\fulltext\k02_seed06.model
2,7,0.3201544399040666,-0.027422182829658935,-0.4369433212910129,0.975,0.02564102564102564,0.35566675662994385,0.5130826828952547,0,0,0,0,0.7828913136787433,0.0,0.06060606060606061,0.9393939393939394,models\fulltext\k02_seed07.model
2,8,0.3032697059954826,-0.03636802110580219,-0.493257987756167,0.95,0.05263157894736842,0.3936956226825714,0.4922810070078024,0,0,0,0,0.6767614386985907,0.0,0.10606060606060606,0.8939393939393939,models\fulltext\k02_seed08.model
2,9,0.33589816145433116,-0.03424963650425576,-0.4873653404304404,0.975,0.02564102564102564,0.49521058797836304,0.513272452744337,0,0,0,0,0.7326354146605698,0.0,0.07575757575757576,0.9242424242424242,models\fulltext\k02_seed09.model
