k,medoid_seed,medoid_mean_structural_similarity,c_v,c_npmi,cross_seed_js_stability_mean,cross_seed_js_stability_sd,topic_diversity,mean_top20_jaccard_redundancy,mean_cosine_redundancy,n_topics_zero_dominant_studies,n_topics_lt3_dominant_studies,min_dominant_study_count,max_dominant_study_count,dominant_count_per_topic,mean_topic_prevalence,prevalence_per_topic,mean_dominant_topic_confidence,prop_confidence_lt_0.40,prop_confidence_0.40_0.60,prop_confidence_gt_0.60
8,2,0.5541,0.3837,-0.0625,0.5432,0.0959,0.7812,0.0439,0.2544,0,0,4,17,"[7, 5, 4, 17, 10, 12, 7, 4]",0.125,"[0.1152, 0.0748, 0.0631, 0.2244, 0.1398, 0.1847, 0.1231, 0.0749]",0.7673,0.0455,0.2424,0.7121
9,16,0.5425,0.435,-0.0313,0.5316,0.105,0.7389,0.0463,0.2162,0,0,4,16,"[9, 7, 5, 5, 16, 5, 7, 4, 8]",0.1111,"[0.1161, 0.1093, 0.0764, 0.0656, 0.2413, 0.0798, 0.0978, 0.0802, 0.1336]",0.7631,0.0758,0.1364,0.7879
12,17,0.5259,0.4217,-0.042,0.5123,0.115,0.7417,0.0366,0.2428,0,1,2,10,"[5, 4, 6, 6, 7, 7, 2, 4, 10, 7, 3, 5]",0.0833,"[0.0903, 0.0509, 0.1072, 0.0796, 0.0945, 0.1117, 0.0516, 0.0406, 0.1421, 0.1163, 0.0432, 0.072]",0.7458,0.0758,0.197,0.7273
13,17,0.5248,0.4023,-0.047,0.5098,0.1185,0.7192,0.0361,0.221,0,0,3,8,"[3, 4, 6, 6, 7, 7, 3, 4, 8, 6, 3, 5, 4]",0.0769,"[0.0747, 0.0498, 0.1015, 0.0782, 0.0915, 0.1059, 0.0512, 0.0396, 0.1234, 0.1204, 0.0391, 0.0706, 0.0541]",0.7468,0.0758,0.1667,0.7576
14,3,0.5211,0.4281,-0.036,0.5091,0.1231,0.7,0.0392,0.2288,0,2,1,9,"[8, 4, 6, 2, 5, 4, 4, 4, 9, 7, 1, 5, 4, 3]",0.0714,"[0.1107, 0.0651, 0.0834, 0.0323, 0.0887, 0.0499, 0.0786, 0.0623, 0.1375, 0.0989, 0.019, 0.0653, 0.062, 0.0464]",0.7717,0.0758,0.1364,0.7879
15,3,0.5182,0.4112,-0.0426,0.507,0.1289,0.6767,0.0403,0.2278,0,3,1,9,"[9, 4, 6, 2, 3, 5, 3, 4, 9, 7, 1, 2, 4, 3, 4]",0.0667,"[0.115, 0.0605, 0.0812, 0.0331, 0.0738, 0.0612, 0.0499, 0.0608, 0.1349, 0.1049, 0.0194, 0.0313, 0.0616, 0.0472, 0.0653]",0.7725,0.0758,0.1212,0.803
