representation,k,rep,sampling_seed,n_sampled,js_similarity,ari,nmi,thin_topics_lt5,zero_topics,normalized_entropy,entropy_delta,wall_seconds
fulltext,5,68,68,53,0.84716,0.95411,0.95841,0,0,0.93508,-0.0137,0.6
fulltext,5,69,69,53,0.79008,0.79459,0.8364,0,0,0.95302,0.00423,0.5
fulltext,5,70,70,53,0.81858,0.8927,0.91289,0,0,0.95567,0.00689,0.5
fulltext,5,71,71,53,0.79252,0.76994,0.80783,0,0,0.95844,0.00966,0.5
fulltext,5,72,72,53,0.74499,0.74256,0.79662,0,0,0.94138,-0.0074,0.6
fulltext,5,73,73,53,0.83478,0.85366,0.87186,0,0,0.94528,-0.0035,0.5
fulltext,5,74,74,53,0.81702,0.88268,0.88048,0,0,0.94997,0.00119,0.6
fulltext,5,75,75,53,0.81781,0.75529,0.8033,0,0,0.94808,-0.00071,0.5
fulltext,5,76,76,53,0.81293,0.86312,0.89561,0,0,0.97789,0.02911,0.5
fulltext,5,77,77,53,0.78982,0.8514,0.87295,0,0,0.96097,0.01219,0.5
fulltext,5,78,78,53,0.79529,0.93657,0.92372,0,0,0.93623,-0.01255,0.5
fulltext,5,79,79,53,0.72406,0.78366,0.81367,0,0,0.96784,0.01906,0.5
fulltext,5,80,80,53,0.75536,0.87573,0.87848,0,0,0.9485,-0.00028,0.5
fulltext,5,81,81,53,0.70558,0.6523,0.72177,0,0,0.95043,0.00165,0.5
fulltext,5,82,82,53,0.6786,0.72739,0.79913,0,0,0.96937,0.02059,0.6
fulltext,5,83,83,53,0.71451,0.74132,0.79558,0,0,0.97642,0.02764,0.5
fulltext,5,84,84,53,0.76155,0.76728,0.7449,0,0,0.93351,-0.01527,0.5
fulltext,5,85,85,53,0.78142,0.79124,0.84249,0,0,0.9409,-0.00788,0.6
fulltext,5,86,86,53,0.81295,0.86974,0.91505,0,0,0.91942,-0.02936,0.5
fulltext,5,87,87,53,0.70606,0.7387,0.77065,0,0,0.96612,0.01734,0.5
fulltext,5,88,88,53,0.84212,0.9158,0.93475,0,0,0.93676,-0.01202,0.5
fulltext,5,89,89,53,0.74635,0.82685,0.83949,0,0,0.96784,0.01906,0.5
fulltext,5,90,90,53,0.7041,0.68996,0.76491,0,0,0.96822,0.01944,0.5
fulltext,5,91,91,53,0.82014,0.84433,0.86719,0,0,0.92213,-0.02665,0.6
fulltext,5,92,92,53,0.82309,0.81973,0.83792,0,0,0.95306,0.00428,0.5
fulltext,5,93,93,53,0.82145,0.82815,0.83845,0,0,0.96521,0.01643,0.5
fulltext,5,94,94,53,0.84923,0.91385,0.92024,0,0,0.96395,0.01516,0.6
fulltext,5,95,95,53,0.75938,0.67766,0.73652,0,0,0.9666,0.01782,0.5
fulltext,5,96,96,53,0.79843,0.95477,0.95936,0,0,0.9588,0.01002,0.5
fulltext,5,97,97,53,0.78752,0.81297,0.83491,0,0,0.95155,0.00276,0.5
fulltext,5,98,98,53,0.84286,0.94924,0.95696,0,0,0.94164,-0.00714,0.5
fulltext,5,99,99,53,0.83371,0.85374,0.88057,1,0,0.8971,-0.05168,0.5
fulltext,5,100,100,53,0.80347,0.91331,0.91848,0,0,0.95844,0.00966,0.5
