budget_prev,budget_cur,mean_agreement,sweep
"(10, 400)","(20, 400)",0.9335388081322944,passes
"(20, 400)","(30, 400)",0.9617643135636257,passes
"(30, 400)","(40, 400)",0.9732718629485437,passes
"(20, 200)","(20, 400)",0.9164509801560794,iterations
"(20, 400)","(20, 800)",0.947158829326572,iterations
