no_below,no_above,k,vocab_size,total_tokens,mean_tokens_per_doc,median_tokens_per_doc,min_tokens_per_doc,max_tokens_per_doc,n_empty_docs,mean_c_v,mean_c_npmi,stability_js_similarity,mean_topic_diversity,mean_topic_redundancy_jaccard,mean_thin_topic_count_lt3,mean_zero_dominance_topic_count
2,0.5,5,3957,87570,1326.8181818181818,1234.0,311,3800,0,0.3125933459178854,-0.19337789496707888,0.5526646422534548,0.8459999999999999,0.0508733719260035,0.0,0.0
2,0.5,10,3957,87570,1326.8181818181818,1234.0,311,3800,0,0.33275933100262006,-0.18412623153068894,0.4762781797412787,0.782,0.03829336180213373,0.4,0.0
2,0.5,15,3957,87570,1326.8181818181818,1234.0,311,3800,0,0.36233817731757856,-0.16782769040869824,0.46434931514702527,0.7426666666666667,0.031862162087726,2.8,0.0
2,0.6,5,4072,104827,1588.2878787878788,1475.5,367,4566,0,0.3438576782219733,-0.1257656749541808,0.5647328340906186,0.8240000000000001,0.05862828494407442,0.0,0.0
2,0.6,10,4072,104827,1588.2878787878788,1475.5,367,4566,0,0.3742564201706273,-0.1296347532733811,0.5060948536086672,0.791,0.03518103163098003,0.4,0.0
2,0.6,15,4072,104827,1588.2878787878788,1475.5,367,4566,0,0.40298510351628697,-0.11538866501036597,0.4755288478278623,0.7173333333333333,0.03394995444531048,2.8,0.2
2,0.7,5,4181,127046,1924.939393939394,1791.5,423,5826,0,0.3361054610359041,-0.07414503528640777,0.5923648161651192,0.752,0.08437481539648721,0.0,0.0
2,0.7,10,4181,127046,1924.939393939394,1791.5,423,5826,0,0.3425333404970636,-0.08874923887823928,0.5080036229298215,0.7129999999999999,0.05165201776140889,0.0,0.0
2,0.7,15,4181,127046,1924.939393939394,1791.5,423,5826,0,0.3845438794291714,-0.07687112841830847,0.4942915706828132,0.6733333333333333,0.04194950806184773,3.0,0.2
2,0.75,5,4222,140159,2123.621212121212,1960.0,455,6658,0,0.33434622911873585,-0.057032640278087375,0.5961232436128874,0.8020000000000002,0.06938026040193224,0.0,0.0
2,0.75,10,4222,140159,2123.621212121212,1960.0,455,6658,0,0.3680181728164863,-0.062317205374953485,0.5263819607859672,0.704,0.054825124174969375,0.2,0.0
2,0.75,15,4222,140159,2123.621212121212,1960.0,455,6658,0,0.3856538603922308,-0.05854907511848344,0.5011019056817008,0.6726666666666666,0.0457034513115893,3.6,0.0
2,0.8,5,4252,148707,2253.1363636363635,2096.5,504,6962,0,0.33522267679079826,-0.05254813900873635,0.6015317472739703,0.7859999999999999,0.07456917946082031,0.0,0.0
2,0.8,10,4252,148707,2253.1363636363635,2096.5,504,6962,0,0.376642627975995,-0.049302600863557186,0.5417208117296621,0.724,0.05085773007341635,0.6,0.0
2,0.8,15,4252,148707,2253.1363636363635,2096.5,504,6962,0,0.39307106365020283,-0.04069456434257576,0.5090645918043967,0.6613333333333333,0.048566127770162525,4.0,0.2
2,0.85,5,4296,164439,2491.5,2329.5,575,7493,0,0.29673287491966394,-0.045485304254029836,0.6154886720434776,0.764,0.09085310987787767,0.0,0.0
2,0.85,10,4296,164439,2491.5,2329.5,575,7493,0,0.35567577505783204,-0.03519009137151373,0.5389516823182018,0.6769999999999999,0.07508324658995455,1.0,0.0
2,0.85,15,4296,164439,2491.5,2329.5,575,7493,0,0.39383432914989186,-0.024814307179298035,0.5140451898062517,0.6346666666666666,0.06127746271487979,3.6,0.2
2,0.9,5,4326,179591,2721.0757575757575,2603.5,649,7948,0,0.33559065749422384,-0.02325404087656186,0.6585726757343539,0.7120000000000001,0.11964669721635665,0.0,0.0
2,0.9,10,4326,179591,2721.0757575757575,2603.5,649,7948,0,0.364101402640646,-0.014246239767343488,0.5670973357742304,0.633,0.08618903669471266,0.8,0.0
2,0.9,15,4326,179591,2721.0757575757575,2603.5,649,7948,0,0.3971330782254511,-0.007481191092642806,0.5350065757023023,0.5973333333333333,0.07263511897316523,3.8,0.2
2,0.95,5,4350,194333,2944.439393939394,2809.5,708,8998,0,0.3289309402298362,-0.014508917656843373,0.6231490017241414,0.7059999999999998,0.11488355850584953,0.0,0.0
2,0.95,10,4350,194333,2944.439393939394,2809.5,708,8998,0,0.3538802383468149,-0.010488035557127606,0.5605165272754855,0.617,0.08461136447720555,1.0,0.0
2,0.95,15,4350,194333,2944.439393939394,2809.5,708,8998,0,0.396725482825808,0.00010181087548688664,0.5500863166188543,0.578,0.06862504888171521,3.4,0.0
2,1.0,5,4381,235842,3573.3636363636365,3339.0,953,11327,0,0.3315499242446693,0.0002142468752927221,0.65792820539677,0.534,0.2691609296728504,0.0,0.0
2,1.0,10,4381,235842,3573.3636363636365,3339.0,953,11327,0,0.3535664176535436,0.0022276397028390764,0.6090000189714392,0.45600000000000007,0.20232284916499652,1.0,0.0
2,1.0,15,4381,235842,3573.3636363636365,3339.0,953,11327,0,0.36010943747159135,0.006819412469768841,0.5454061281727368,0.43600000000000005,0.17199049634590818,4.0,0.6
3,0.5,5,2913,83392,1263.5151515151515,1172.5,304,3715,0,0.30877030803507816,-0.19564078362141277,0.56004711972964,0.842,0.05192639787067031,0.0,0.0
3,0.5,10,2913,83392,1263.5151515151515,1172.5,304,3715,0,0.31619434724966355,-0.19199775635460972,0.4647008939427718,0.776,0.039158133853696285,0.0,0.0
3,0.5,15,2913,83392,1263.5151515151515,1172.5,304,3715,0,0.34360996421558965,-0.1696607465718712,0.4503099746923385,0.7346666666666666,0.030246755058785137,3.2,0.0
3,0.6,5,3028,100649,1524.9848484848485,1422.0,360,4481,0,0.343118067811899,-0.12871922016875756,0.578148141939448,0.8360000000000001,0.0525445978077557,0.0,0.0
3,0.6,10,3028,100649,1524.9848484848485,1422.0,360,4481,0,0.36324425123395115,-0.12404586491822785,0.49808998248678404,0.7660000000000001,0.04248742420053049,0.6,0.0
3,0.6,15,3028,100649,1524.9848484848485,1422.0,360,4481,0,0.3928555329701062,-0.11098193155335642,0.4906125180102906,0.7226666666666667,0.033766190723289354,2.4,0.0
3,0.7,5,3137,122868,1861.6363636363637,1700.0,416,5741,0,0.3268088434257025,-0.08881257131338953,0.598551018004934,0.798,0.0642797316481527,0.0,0.0
3,0.7,10,3137,122868,1861.6363636363637,1700.0,416,5741,0,0.37994009955430924,-0.07317989926912807,0.5307173728959539,0.731,0.046890231286516114,0.4,0.0
3,0.7,15,3137,122868,1861.6363636363637,1700.0,416,5741,0,0.41618457258781544,-0.06432983203977498,0.5246627409979846,0.678,0.041719385938757896,3.2,0.0
3,0.75,5,3178,135981,2060.318181818182,1902.5,448,6573,0,0.3318388622692142,-0.058370336327056974,0.5951251107669904,0.804,0.06518101131104227,0.0,0.0
