no_below,no_above,vocab_size,mean_c_v,mean_c_npmi,stability,diversity,redundancy,thin_topics,zero_dominance
2,0.5,3957.0,0.33589695141269466,-0.18177727230215532,0.4977640457139196,0.7902222222222223,0.0403429652719544,1.0666666666666667,0.0
2,0.6,4072.0,0.37369973396962913,-0.1235963644126426,0.5154521785090495,0.7774444444444445,0.042586423673454936,1.0666666666666667,0.06666666666666667
2,0.7,4181.0,0.35439422698737966,-0.0799218008609851,0.5315533365925846,0.7127777777777777,0.059325447073247904,1.0,0.06666666666666667
2,0.75,4222.0,0.362672754109151,-0.059299640257174706,0.5412023700268518,0.7262222222222222,0.05663627862949693,1.2666666666666668,0.0
2,0.8,4252.0,0.36831212280566533,-0.04751510140495637,0.5507723836026764,0.7237777777777777,0.05799767910146636,1.5333333333333332,0.06666666666666667
2,0.85,4296.0,0.34874765970912924,-0.035163234268280504,0.556161848055977,0.6918888888888889,0.0757379397275706,1.5333333333333332,0.06666666666666667
2,0.9,4326.0,0.3656083794534403,-0.014993823912182666,0.5868921957369622,0.6474444444444445,0.09282361762807813,1.5333333333333332,0.06666666666666667
2,0.95,4350.0,0.3598455538008197,-0.0082983807794947,0.5779172818728271,0.6336666666666666,0.08937332395492341,1.4666666666666668,0.0
2,1.0,4381.0,0.34840859312326805,0.0030870996826335,0.604111450846982,0.4753333333333334,0.21449142506125166,1.6666666666666667,0.19999999999999998
3,0.5,2913.0,0.3228582065001104,-0.18576642884929787,0.4916859961215834,0.7842222222222222,0.04044376226105053,1.0666666666666667,0.0
3,0.6,3028.0,0.36640595067198545,-0.12124900554678057,0.5222835474788409,0.774888888888889,0.0429327375771918,1.0,0.0
3,0.7,3137.0,0.37431117185594237,-0.07544076754076413,0.5513103772996242,0.7356666666666666,0.050963116291142196,1.2,0.0
3,0.75,3178.0,0.36153218731025644,-0.057813824461032594,0.5486881949997405,0.7252222222222223,0.055088123057064974,1.2,0.0
3,0.8,3208.0,0.3836986729376238,-0.045113467983788534,0.5694064218501709,0.7337777777777778,0.05540646553227017,1.2666666666666666,0.06666666666666667
3,0.85,3252.0,0.36749635145832577,-0.027369478116671665,0.572776301078024,0.682,0.07832794297510004,1.7333333333333332,0.0
3,0.9,3282.0,0.3648475611615289,-0.0156641038098941,0.5758725700541844,0.648,0.0891961895542399,1.7333333333333334,0.06666666666666667
3,0.95,3306.0,0.3780345250829043,-0.0035529342355154667,0.5817486777883226,0.6309999999999999,0.0900050599636138,2.266666666666667,0.19999999999999998
3,1.0,3337.0,0.36172913905385434,0.007139062647062399,0.6193341669261555,0.48688888888888887,0.19908905177259087,2.1999999999999997,0.6
4,0.5,2361.0,0.33474532371090593,-0.17043112542736635,0.5061963738079754,0.7682222222222223,0.040947381771009435,1.0,0.13333333333333333
4,0.6,2476.0,0.3585948333538267,-0.12011455421131478,0.5258468888210436,0.7758888888888889,0.041959126194762664,0.6666666666666666,0.06666666666666667
4,0.7,2585.0,0.3824226547589345,-0.06829700444882864,0.5517167598080822,0.7217777777777777,0.05492465301104543,1.2,0.0
4,0.75,2626.0,0.3885476470342164,-0.04832452864530063,0.5771665001166094,0.7302222222222222,0.05189456443424693,1.0,0.0
4,0.8,2656.0,0.38336107285866644,-0.03927705820128186,0.561494560290062,0.7303333333333333,0.057324963956850404,1.1333333333333335,0.06666666666666667
4,0.85,2700.0,0.3741594174252361,-0.021542234915434732,0.5800540212721836,0.6921111111111111,0.07202039124590597,1.7333333333333334,0.0
4,0.9,2730.0,0.37574100311700825,-0.009702877830284166,0.6016278233969491,0.6373333333333333,0.09186248091441013,1.4666666666666666,0.13333333333333333
4,0.95,2754.0,0.3769278604942839,-0.0015908107713822667,0.6128893118924047,0.6283333333333334,0.08980419417512935,1.5999999999999999,0.06666666666666667
4,1.0,2785.0,0.3608936074479274,0.008094179832971499,0.610337430691391,0.5051111111111111,0.19067404155161438,2.0,0.26666666666666666
5,0.5,1986.0,0.34539270234962655,-0.17281043824914755,0.5130567876346673,0.7803333333333334,0.03784699442471317,0.9333333333333332,0.06666666666666667
5,0.6,2101.0,0.36804734581774995,-0.11959784258749319,0.540051849390886,0.7711111111111112,0.043690564807620534,1.4000000000000001,0.06666666666666667
5,0.7,2210.0,0.3840897166460979,-0.0650284775067933,0.5582698761642116,0.7285555555555555,0.05137516948662454,1.2,0.06666666666666667
5,0.75,2251.0,0.37964396804563943,-0.04750768691585686,0.5686760805868977,0.7323333333333334,0.054785176537596764,1.2,0.0
5,0.8,2281.0,0.38766052281095237,-0.0399000242761528,0.5681772211538614,0.7336666666666666,0.0527660916761118,1.1333333333333335,0.06666666666666667
5,0.85,2325.0,0.38241559795532876,-0.019296954968673768,0.5838742929156105,0.6914444444444445,0.07070865292104657,1.0666666666666667,0.0
5,0.9,2355.0,0.3775743326456902,-0.012320145024065567,0.5968247014220891,0.6605555555555557,0.082180333565509,1.3333333333333333,0.0
5,0.95,2379.0,0.3812761300614757,0.00047928139089936677,0.6065150873101448,0.6422222222222222,0.08625251266958313,1.9333333333333333,0.0
5,1.0,2410.0,0.3584187812334319,0.006621653951848133,0.6137590660514831,0.5085555555555555,0.18769158419687818,2.1999999999999997,0.39999999999999997
