rep,seed,n_sampled,sampled_study_ids,topic_similarity_js,ari,nmi
14,14,53,S71;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S61;S26;S28;S30;S31;S32;S33;S35;S38;S40;S41;S42;S44;S45;S46;S62;S63;S48;S51;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.541330786427487,0.3345971044319145,0.5267205787552721
15,15,53,S71;S66;S70;S65;S01;S03;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S27;S29;S30;S31;S32;S34;S35;S39;S40;S41;S43;S42;S44;S46;S47;S48;S49;S64;S52;S53;S55;S57;S59;S60,0.47918199110823567,0.3072456235275071,0.49915196677021156
16,16,53,S71;S66;S70;S02;S06;S07;S09;S11;S12;S13;S14;S15;S16;S17;S18;S19;S23;S24;S61;S26;S27;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S63;S47;S48;S49;S50;S51;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5030273245023946,0.14180837330539756,0.3944252773973301
17,17,53,S71;S66;S70;S65;S01;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S22;S23;S24;S25;S26;S28;S29;S30;S31;S32;S33;S34;S35;S38;S39;S40;S41;S42;S44;S45;S46;S62;S48;S49;S50;S64;S52;S54;S56;S58;S59;S60,0.4968182096868762,0.1356501270465442,0.3612843935574747
18,18,53,S71;S65;S05;S06;S07;S08;S09;S10;S11;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S25;S61;S26;S27;S28;S29;S30;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S46;S62;S63;S47;S48;S49;S50;S64;S52;S53;S54;S55;S56;S58;S59;S60,0.5330758310968735,0.2943059245270941,0.5413884554164216
19,19,53,S66;S70;S65;S01;S02;S03;S05;S07;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S44;S46;S62;S63;S47;S48;S49;S50;S51;S52;S53;S54;S58;S60,0.5208164189266824,0.15329782381700913,0.39293660303095906
20,20,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S10;S11;S12;S13;S17;S18;S19;S20;S22;S23;S24;S25;S61;S27;S28;S29;S30;S31;S32;S33;S34;S36;S38;S39;S40;S41;S42;S44;S45;S63;S47;S48;S49;S51;S64;S52;S55;S56;S57;S58;S59;S60,0.5213114390101814,0.11492242595204513,0.3892291740415817
21,21,53,S71;S66;S70;S65;S01;S02;S05;S07;S08;S09;S10;S11;S12;S13;S15;S16;S19;S20;S21;S24;S25;S61;S26;S27;S28;S29;S30;S31;S33;S34;S35;S38;S39;S40;S43;S42;S45;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S55;S57;S58;S59;S60,0.5147653267681258,0.12774125045942744,0.4122713277665024
22,22,53,S71;S66;S65;S01;S02;S05;S06;S07;S08;S09;S10;S11;S12;S14;S15;S17;S18;S20;S21;S22;S24;S25;S61;S26;S27;S28;S30;S32;S33;S34;S35;S36;S39;S40;S41;S43;S42;S45;S46;S62;S63;S49;S50;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5121927921758695,0.2153130287648054,0.4481553903944721
23,23,53,S71;S66;S70;S65;S02;S03;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S36;S38;S41;S42;S44;S45;S46;S62;S63;S50;S52;S53;S54;S55;S56;S58;S59;S60,0.5071009225882213,0.19415204678362574,0.4584398535916601
