representation,k,rep,sampling_seed,n_sampled,js_similarity,ari,nmi,thin_topics_lt5,zero_topics,normalized_entropy,entropy_delta,wall_seconds
fulltext,3,1,1,53,0.77075,0.45861,0.47654,0,0,0.95187,-0.02014,2.4
fulltext,3,2,2,53,0.84833,0.6971,0.6512,0,0,0.98782,0.01581,2.2
fulltext,3,3,3,53,0.858,0.84751,0.80397,0,0,0.98958,0.01758,2.3
fulltext,3,4,4,53,0.84847,0.71402,0.70965,0,0,0.96156,-0.01044,2.4
fulltext,3,5,5,53,0.81724,0.62721,0.63637,0,0,0.97895,0.00695,2.3
fulltext,3,6,6,53,0.75643,0.42755,0.43202,0,0,0.95252,-0.01949,2.1
fulltext,3,7,7,53,0.81845,0.65579,0.58941,0,0,0.96943,-0.00257,2.3
fulltext,3,8,8,53,0.82575,0.65763,0.66855,0,0,0.93497,-0.03703,2.3
fulltext,3,9,9,53,0.85625,0.72699,0.71511,0,0,0.99872,0.02672,2.3
fulltext,3,10,10,53,0.7892,0.57909,0.5392,0,0,0.99376,0.02176,2.3
fulltext,3,11,11,53,0.84529,0.87904,0.85756,0,0,0.93497,-0.03703,2.3
fulltext,3,12,12,53,0.81704,0.61748,0.57556,0,0,0.96279,-0.00921,2.3
fulltext,3,13,13,53,0.859,0.82797,0.79507,0,0,0.97982,0.00782,2.5
fulltext,3,14,14,53,0.83464,0.8077,0.76397,0,0,0.98782,0.01581,2.4
fulltext,3,15,15,53,0.83797,0.90374,0.8921,0,0,0.95252,-0.01949,2.3
fulltext,3,16,16,53,0.8907,1.0,1.0,0,0,0.99376,0.02176,2.3
fulltext,3,17,17,53,0.85062,0.82129,0.84711,0,0,0.96156,-0.01044,2.3
fulltext,3,18,18,53,0.85627,0.88106,0.85695,0,0,0.92592,-0.04608,2.2
fulltext,3,19,19,53,0.83678,0.84746,0.82477,0,0,0.98428,0.01228,2.4
fulltext,3,20,20,53,0.86126,1.0,1.0,0,0,0.96401,-0.00799,2.2
fulltext,3,21,21,53,0.78989,0.74675,0.71456,0,0,0.95787,-0.01413,2.2
fulltext,3,22,22,53,0.84394,0.93542,0.92901,0,0,0.96972,-0.00228,2.2
fulltext,3,23,23,53,0.86405,0.83696,0.79567,0,0,0.95745,-0.01456,2.4
fulltext,3,24,24,53,0.80666,0.69706,0.65573,0,0,0.97476,0.00276,2.4
fulltext,3,25,25,53,0.78524,0.55192,0.50853,0,0,0.94771,-0.02429,2.3
fulltext,3,26,26,53,0.86614,0.83358,0.79854,0,0,0.97982,0.00782,2.3
fulltext,3,27,27,53,0.81903,0.67845,0.67911,0,0,0.98428,0.01228,2.4
fulltext,3,28,28,53,0.84159,0.85907,0.82673,0,0,0.96279,-0.00921,2.3
fulltext,3,29,29,53,0.83974,0.93626,0.93018,0,0,0.9824,0.0104,2.3
fulltext,3,30,30,53,0.76618,0.42348,0.43245,0,0,0.9718,-0.0002,2.4
fulltext,3,31,31,53,0.84385,0.94956,0.93422,0,0,0.9824,0.0104,2.2
fulltext,3,32,32,53,0.80533,0.59657,0.6065,0,0,0.99967,0.02767,2.2
fulltext,3,33,33,53,0.89,1.0,1.0,0,0,0.96155,-0.01045,2.3
fulltext,3,34,34,53,0.82594,0.7437,0.71753,0,0,0.9801,0.00809,2.3
fulltext,3,35,35,53,0.8348,0.88326,0.85862,0,0,0.93536,-0.03665,2.3
fulltext,3,36,36,53,0.82197,0.59314,0.65964,0,0,0.98428,0.01228,2.3
fulltext,3,37,37,53,0.84658,0.78119,0.75743,0,0,0.98782,0.01581,2.4
fulltext,3,38,38,53,0.87979,0.90157,0.8931,0,0,0.99105,0.01904,2.2
fulltext,3,39,39,53,0.89476,1.0,1.0,0,0,0.98428,0.01228,2.4
fulltext,3,40,40,53,0.80176,0.66688,0.68504,0,0,0.96279,-0.00921,2.4
fulltext,3,41,41,53,0.77981,0.53577,0.52789,0,0,0.99376,0.02176,2.2
fulltext,3,42,42,53,0.88835,0.87175,0.88054,0,0,0.96483,-0.00717,2.2
fulltext,3,43,43,53,0.77878,0.62738,0.62157,0,0,0.99105,0.01904,2.2
fulltext,3,44,44,53,0.83262,0.78882,0.76044,0,0,0.99585,0.02385,2.3
fulltext,3,45,45,53,0.73858,0.45683,0.48719,0,0,0.98428,0.01228,2.0
fulltext,3,46,46,53,0.8492,0.81813,0.81218,0,0,0.96466,-0.00734,2.2
fulltext,3,47,47,53,0.83908,0.71826,0.71692,0,0,0.9718,-0.0002,2.3
fulltext,3,48,48,53,0.86022,0.90109,0.86702,0,0,0.95787,-0.01413,2.3
fulltext,3,49,49,53,0.6589,0.11189,0.17127,0,0,0.99872,0.02672,2.2
fulltext,3,50,50,53,0.82359,0.68759,0.64092,0,0,0.97982,0.00782,2.1
