representation,k,rep,sampling_seed,n_sampled,js_similarity,ari,nmi,thin_topics_lt5,zero_topics,normalized_entropy,entropy_delta,wall_seconds
metadata,4,1,1,53,0.79786,0.8753,0.8764,0,0,0.9828,-0.00291,0.2
metadata,4,2,2,53,0.80482,0.80695,0.8245,0,0,0.99542,0.00971,0.2
metadata,4,3,3,53,0.80246,0.80615,0.84885,0,0,0.99857,0.01286,0.2
metadata,4,4,4,53,0.79423,0.76368,0.77988,0,0,0.97801,-0.0077,0.2
metadata,4,5,5,53,0.83969,0.75999,0.77135,0,0,0.96742,-0.01829,0.2
metadata,4,6,6,53,0.82586,0.86879,0.85581,0,0,0.98061,-0.00509,0.2
metadata,4,7,7,53,0.81322,0.85961,0.85028,0,0,0.94348,-0.04223,0.2
metadata,4,8,8,53,0.82755,0.69906,0.74998,0,0,0.99542,0.00971,0.2
metadata,4,9,9,53,0.8234,0.77695,0.78039,0,0,0.99011,0.0044,0.2
metadata,4,10,10,53,0.83565,0.84282,0.85666,0,0,0.9397,-0.046,0.2
metadata,4,11,11,53,0.7675,0.71553,0.71006,0,0,0.9828,-0.00291,0.2
metadata,4,12,12,53,0.81061,0.86197,0.85616,0,0,0.99011,0.0044,0.2
metadata,4,13,13,53,0.81284,0.79048,0.86098,0,0,0.96543,-0.02028,0.2
metadata,4,14,14,53,0.82973,0.84921,0.85433,0,0,0.99249,0.00678,0.2
metadata,4,15,15,53,0.81824,0.71436,0.72766,0,0,0.98975,0.00405,0.2
metadata,4,16,16,53,0.85403,0.81324,0.82451,0,0,0.98435,-0.00136,0.2
metadata,4,17,17,53,0.81286,0.80087,0.80271,0,0,0.98057,-0.00514,0.2
metadata,4,18,18,53,0.84367,0.86509,0.85744,0,0,0.99249,0.00678,0.2
metadata,4,19,19,53,0.8165,0.83697,0.82998,0,0,0.98061,-0.00509,0.2
metadata,4,20,20,53,0.82346,0.89121,0.89975,0,0,0.98933,0.00362,0.2
metadata,4,21,21,53,0.75546,0.67529,0.64289,0,0,0.9679,-0.01781,0.2
metadata,4,22,22,53,0.73719,0.59706,0.61395,0,0,0.99011,0.0044,0.2
metadata,4,23,23,53,0.82919,0.75943,0.75976,0,0,0.9976,0.01189,0.2
metadata,4,24,24,53,0.79149,0.77658,0.80944,1,0,0.92455,-0.06115,0.2
metadata,4,25,25,53,0.78667,0.76514,0.75511,0,0,0.9787,-0.00701,0.2
metadata,4,26,26,53,0.86446,0.95035,0.95115,0,0,0.99249,0.00678,0.2
metadata,4,27,27,53,0.81822,0.71542,0.74729,0,0,0.99857,0.01286,0.2
metadata,4,28,28,53,0.79835,0.79736,0.76591,0,0,0.98517,-0.00054,0.2
metadata,4,29,29,53,0.8429,0.91234,0.9237,0,0,0.99199,0.00628,0.2
metadata,4,30,30,53,0.81895,0.75773,0.79891,0,0,0.99542,0.00971,0.2
metadata,4,31,31,53,0.85828,0.89976,0.90279,0,0,0.99639,0.01068,0.2
metadata,4,32,32,53,0.72883,0.67517,0.72218,1,0,0.92044,-0.06527,0.2
metadata,4,33,33,53,0.86414,0.83859,0.85168,0,0,0.96742,-0.01829,0.2
metadata,4,34,34,53,0.8401,0.91817,0.92401,0,0,0.9828,-0.00291,0.2
metadata,4,35,35,53,0.83806,0.8168,0.82629,0,0,0.98809,0.00238,0.2
metadata,4,36,36,53,0.82337,0.77475,0.82146,0,0,0.98623,0.00053,0.2
metadata,4,37,37,53,0.86318,0.85888,0.85485,0,0,0.98403,-0.00168,0.2
metadata,4,38,38,53,0.83641,0.8657,0.85401,0,0,0.97074,-0.01497,0.2
metadata,4,39,39,53,0.83051,0.80914,0.80716,0,0,0.99655,0.01084,0.2
metadata,4,40,40,53,0.82905,0.85591,0.85461,0,0,0.99249,0.00678,0.2
metadata,4,41,41,53,0.76186,0.61982,0.63694,0,0,0.96816,-0.01754,0.2
metadata,4,42,42,53,0.80615,0.75819,0.75908,0,0,0.99857,0.01286,0.2
metadata,4,43,43,53,0.79604,0.82807,0.82261,0,0,0.94595,-0.03976,0.2
metadata,4,44,44,53,0.818,0.78394,0.7806,0,0,0.9828,-0.00291,0.2
metadata,4,45,45,53,0.81661,0.85888,0.8548,0,0,0.98975,0.00405,0.2
metadata,4,46,46,53,0.83413,0.91727,0.90484,0,0,0.97746,-0.00825,0.2
metadata,4,47,47,53,0.8407,0.91107,0.90343,0,0,0.97801,-0.0077,0.2
metadata,4,48,48,53,0.80861,0.73656,0.747,0,0,0.98061,-0.00509,0.2
metadata,4,49,49,53,0.70488,0.4545,0.54658,0,0,0.97074,-0.01497,0.2
metadata,4,50,50,53,0.83814,0.91439,0.90329,0,0,0.97372,-0.01199,0.2
metadata,4,51,51,53,0.78271,0.84563,0.84528,0,0,0.94214,-0.04357,0.2
metadata,4,52,52,53,0.84354,0.8619,0.85206,0,0,0.96241,-0.02329,0.2
metadata,4,53,53,53,0.76515,0.76151,0.80858,0,0,0.94816,-0.03755,0.2
