rep,seed,n_sampled,sampled_study_ids,topic_similarity_js,ari,nmi
14,14,53,S71;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S61;S26;S28;S30;S31;S32;S33;S35;S38;S40;S41;S42;S44;S45;S46;S62;S63;S48;S51;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.6149610166238724,0.25140993230895325,0.3635915508745308
15,15,53,S71;S66;S70;S65;S01;S03;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S27;S29;S30;S31;S32;S34;S35;S39;S40;S41;S43;S42;S44;S46;S47;S48;S49;S64;S52;S53;S55;S57;S59;S60,0.5626831130187502,0.02323582773657574,0.11709006071768037
16,16,53,S71;S66;S70;S02;S06;S07;S09;S11;S12;S13;S14;S15;S16;S17;S18;S19;S23;S24;S61;S26;S27;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S63;S47;S48;S49;S50;S51;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5139498413298612,0.176334083420397,0.24414303288663483
17,17,53,S71;S66;S70;S65;S01;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S22;S23;S24;S25;S26;S28;S29;S30;S31;S32;S33;S34;S35;S38;S39;S40;S41;S42;S44;S45;S46;S62;S48;S49;S50;S64;S52;S54;S56;S58;S59;S60,0.6107663809279984,0.16077575823072368,0.2977997744077762
18,18,53,S71;S65;S05;S06;S07;S08;S09;S10;S11;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S25;S61;S26;S27;S28;S29;S30;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S46;S62;S63;S47;S48;S49;S50;S64;S52;S53;S54;S55;S56;S58;S59;S60,0.6513810103433076,0.1685186414100078,0.26569985728029294
19,19,53,S66;S70;S65;S01;S02;S03;S05;S07;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S44;S46;S62;S63;S47;S48;S49;S50;S51;S52;S53;S54;S58;S60,0.5125238436425934,0.16866006858777616,0.26101795970605274
20,20,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S10;S11;S12;S13;S17;S18;S19;S20;S22;S23;S24;S25;S61;S27;S28;S29;S30;S31;S32;S33;S34;S36;S38;S39;S40;S41;S42;S44;S45;S63;S47;S48;S49;S51;S64;S52;S55;S56;S57;S58;S59;S60,0.5771674686021848,0.07798109240439301,0.15728964238139115
21,21,53,S71;S66;S70;S65;S01;S02;S05;S07;S08;S09;S10;S11;S12;S13;S15;S16;S19;S20;S21;S24;S25;S61;S26;S27;S28;S29;S30;S31;S33;S34;S35;S38;S39;S40;S43;S42;S45;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S55;S57;S58;S59;S60,0.5531990671343556,0.0696540957338731,0.16578844464027132
22,22,53,S71;S66;S65;S01;S02;S05;S06;S07;S08;S09;S10;S11;S12;S14;S15;S17;S18;S20;S21;S22;S24;S25;S61;S26;S27;S28;S30;S32;S33;S34;S35;S36;S39;S40;S41;S43;S42;S45;S46;S62;S63;S49;S50;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.6004306721184025,0.052786069035558145,0.13920988070556242
23,23,53,S71;S66;S70;S65;S02;S03;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S36;S38;S41;S42;S44;S45;S46;S62;S63;S50;S52;S53;S54;S55;S56;S58;S59;S60,0.5482712350649015,0.0704733347183044,0.11240414665738568
24,24,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S13;S14;S15;S16;S17;S18;S19;S21;S22;S25;S61;S26;S27;S28;S30;S31;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S47;S48;S50;S64;S52;S53;S54;S55;S57;S58;S60,0.6411915804708215,0.15343184817938382,0.27840466970111677
25,25,53,S66;S70;S01;S02;S03;S05;S07;S09;S10;S11;S12;S14;S16;S17;S18;S19;S20;S21;S22;S24;S25;S27;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S55;S57;S58;S59;S60,0.4987675107183323,-0.007912989677293302,0.03684067043862914
26,26,53,S71;S66;S70;S65;S01;S03;S06;S07;S08;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S21;S22;S23;S24;S25;S61;S26;S27;S29;S30;S31;S32;S33;S35;S36;S38;S39;S40;S41;S42;S44;S45;S46;S62;S63;S47;S49;S51;S64;S52;S54;S55;S57;S59,0.6403860545284858,0.251979121891311,0.31550610616569863
27,27,53,S71;S66;S70;S65;S01;S02;S05;S06;S07;S09;S10;S12;S13;S14;S17;S18;S19;S20;S21;S22;S23;S24;S25;S61;S27;S28;S29;S30;S31;S32;S33;S35;S36;S38;S39;S40;S41;S43;S44;S46;S62;S47;S48;S49;S51;S64;S53;S54;S55;S56;S57;S58;S60,0.4968988406619267,0.13834584316929607,0.24986334793165982
