k,seed,c_v,c_npmi,c_umass,topic_diversity,mean_top20_jaccard,mean_cosine_redundancy,mean_js_distance_redundancy,n_topics_0_studies,n_topics_1_study,n_topics_lt3_studies,n_topics_lt5_studies,margin_mean,prop_conf_lt_0.40,prop_conf_0.40_0.60,prop_conf_gt_0.60,model_path
2,0,0.4083127215207591,-0.06367548068307996,-1.204557497642778,0.975,0.02564102564102564,0.38743624091148376,0.5393127829376096,0,0,0,0,0.7159040707461607,0.0,0.09090909090909091,0.9090909090909091,models\metadata\k02_seed00.model
2,1,0.3416503972846834,-0.11048144594608006,-1.3354051780648666,0.95,0.05263157894736842,0.48349860310554504,0.5054163855732557,0,0,0,0,0.7175388130728441,0.0,0.13636363636363635,0.8636363636363636,models\metadata\k02_seed01.model
2,2,0.3490715989924666,-0.09980380650206598,-1.206724752627073,0.9,0.1111111111111111,0.4879601299762726,0.5022143150546208,0,0,0,0,0.8242886575506859,0.0,0.06060606060606061,0.9393939393939394,models\metadata\k02_seed02.model
2,3,0.36934178265431417,-0.07511784067706542,-1.1848983220239138,0.95,0.05263157894736842,0.37655478715896606,0.5381388865161225,0,0,1,1,0.9024797471912197,0.0,0.0,1.0,models\metadata\k02_seed03.model
2,4,0.3713255305559395,-0.0796128838219005,-1.1342334227344073,0.95,0.05263157894736842,0.37083908915519714,0.5409353261295876,0,0,0,0,0.7120759161123054,0.0,0.12121212121212122,0.8787878787878788,models\metadata\k02_seed04.model
2,5,0.3795278432636937,-0.06415888730784611,-1.087032458117858,0.95,0.05263157894736842,0.38557398319244385,0.5383740002849198,0,0,0,0,0.758851162598038,0.0,0.07575757575757576,0.9242424242424242,models\metadata\k02_seed05.model
2,6,0.3872817952701264,-0.07968386079566396,-1.2030610441590972,0.975,0.02564102564102564,0.3931652009487152,0.5332906932674178,0,0,0,0,0.8418696460942032,0.0,0.030303030303030304,0.9696969696969697,models\metadata\k02_seed06.model
2,7,0.386430140808649,-0.06938078771054859,-1.153959316036256,0.975,0.02564102564102564,0.3780936896800995,0.5191559958622913,0,0,0,0,0.7737579184012606,0.0,0.09090909090909091,0.9090909090909091,models\metadata\k02_seed07.model
2,8,0.36347658240137165,-0.08374418162174954,-1.1343219318835365,0.95,0.05263157894736842,0.37515029311180115,0.5279208473514463,0,0,0,0,0.7619969713625985,0.0,0.09090909090909091,0.9090909090909091,models\metadata\k02_seed08.model
2,9,0.3578407528836325,-0.10109297027245487,-1.375790506733528,0.95,0.05263157894736842,0.46172457933425903,0.510258769046649,0,0,0,0,0.792541324902314,0.0,0.10606060606060606,0.8939393939393939,models\metadata\k02_seed09.model
2,10,0.33469466211171434,-0.11836012130561482,-1.4034931031906068,0.925,0.08108108108108109,0.5284974575042725,0.4987610692624571,0,0,0,0,0.797033680214752,0.0,0.07575757575757576,0.9242424242424242,models\metadata\k02_seed10.model
2,11,0.3821922204822835,-0.07066651050421557,-1.149885491100934,0.95,0.05263157894736842,0.4060085117816925,0.5405928345273786,0,0,0,0,0.7673129306208328,0.0,0.09090909090909091,0.9090909090909091,models\metadata\k02_seed11.model
2,12,0.3871911774392367,-0.08988642871371531,-1.2236098230362926,0.975,0.02564102564102564,0.4371814727783203,0.5001829172321363,0,0,0,0,0.7338048704789826,0.0,0.09090909090909091,0.9090909090909091,models\metadata\k02_seed12.model
2,13,0.3864301408086491,-0.06938078771054859,-1.1518451805801257,0.975,0.02564102564102564,0.3731610178947449,0.526214690202291,0,0,0,0,0.7588100706320389,0.0,0.12121212121212122,0.8787878787878788,models\metadata\k02_seed13.model
2,14,0.38607173043695386,-0.07639833173615342,-1.2346090481482999,0.975,0.02564102564102564,0.3625338077545166,0.5503191777328786,0,0,0,0,0.8510159171322206,0.0,0.015151515151515152,0.9848484848484849,models\metadata\k02_seed14.model
2,15,0.3827252009193717,-0.0625440330028895,-1.1597968475304867,0.95,0.05263157894736842,0.37448838353157043,0.5394517663371777,0,0,1,1,0.8884098424345156,0.0,0.015151515151515152,0.9848484848484849,models\metadata\k02_seed15.model
2,16,0.36501270855437606,-0.07264917090604339,-1.1406323762505735,0.975,0.02564102564102564,0.387329638004303,0.5145146488289987,0,0,0,0,0.7766907259415761,0.0,0.10606060606060606,0.8939393939393939,models\metadata\k02_seed16.model
2,17,0.3290967628818914,-0.14373742570982112,-1.7109960378801485,0.95,0.05263157894736842,0.46466487646102905,0.4886781962414376,0,0,0,0,0.6621623364646273,0.0,0.16666666666666666,0.8333333333333334,models\metadata\k02_seed17.model
2,18,0.35536447923423453,-0.0971959964508268,-1.2759256691879415,0.925,0.08108108108108109,0.4941648244857788,0.5225753100553517,0,0,0,0,0.610717119081087,0.0,0.19696969696969696,0.803030303030303,models\metadata\k02_seed18.model
2,19,0.37463270043920416,-0.07356511675526506,-1.0931025211316847,0.95,0.05263157894736842,0.3894127905368805,0.500578798172177,0,0,0,0,0.7714108058310309,0.0,0.09090909090909091,0.9090909090909091,models\metadata\k02_seed19.model
3,0,0.4732883665586818,-0.0761887057937866,-1.1868287257392482,0.8833333333333333,0.06312790523316839,0.41378434499104816,0.5627759245876831,0,0,1,1,0.7247239413182163,0.015151515151515152,0.06060606060606061,0.9242424242424242,models\metadata\k03_seed00.model
3,1,0.34883766055211374,-0.14063483259506251,-1.6737340151233635,0.8666666666666667,0.08160792371318687,0.4057452778021495,0.5583265057727271,0,0,0,0,0.6614093531056411,0.015151515151515152,0.13636363636363635,0.8484848484848485,models\metadata\k03_seed01.model
3,2,0.39388126134722423,-0.07269566227657838,-1.2647880005399066,0.9,0.05311789522315838,0.4526894191900889,0.5386841806141982,0,0,1,1,0.710441703306556,0.0,0.12121212121212122,0.8787878787878788,models\metadata\k03_seed02.model
3,3,0.41333928242719287,-0.08341202395077248,-1.23991807238413,0.8833333333333333,0.06211474632527264,0.37278562784194946,0.5634486244812539,0,0,1,1,0.7201312512729738,0.0,0.10606060606060606,0.8939393939393939,models\metadata\k03_seed03.model
3,4,0.3875760142031826,-0.10140178565926065,-1.5166364505565924,0.8833333333333333,0.0626010626010626,0.4163889189561208,0.5558736373679044,0,0,1,1,0.7162489136093372,0.0,0.10606060606060606,0.8939393939393939,models\metadata\k03_seed04.model
3,5,0.39186798931172667,-0.10599553298110063,-1.5217091703084502,0.9166666666666666,0.05311789522315838,0.3083179046710332,0.5822132464178368,0,0,0,1,0.7140956912486273,0.0,0.12121212121212122,0.8787878787878788,models\metadata\k03_seed05.model
3,6,0.411633814692512,-0.09930481045422641,-1.6227704658769653,0.9166666666666666,0.043634727845254156,0.335338294506073,0.5648353026252214,0,0,0,0,0.6448852894271002,0.015151515151515152,0.15151515151515152,0.8333333333333334,models\metadata\k03_seed06.model
3,7,0.386841544289985,-0.08352482570849451,-1.3849217152039088,0.85,0.09161793372319688,0.47289300958315533,0.5412908099266986,0,0,0,0,0.6808918668377207,0.0,0.16666666666666666,0.8333333333333334,models\metadata\k03_seed07.model
3,8,0.407363197722251,-0.10080092662956121,-1.567701846119707,0.9,0.06312790523316839,0.41520993908246356,0.5610909433855531,0,0,0,0,0.679977581547119,0.0,0.18181818181818182,0.8181818181818182,models\metadata\k03_seed08.model
3,9,0.3464475260016658,-0.11693299746121148,-1.3581114461747983,0.8666666666666667,0.09391124871001033,0.4462757309277852,0.5509365288499247,0,0,0,1,0.7910810511638181,0.0,0.06060606060606061,0.9393939393939394,models\metadata\k03_seed09.model
3,10,0.38018780830423665,-0.07950912793349386,-1.2973813334691144,0.8333333333333334,0.10219994430520746,0.4232469101746877,0.5431468121830882,0,0,0,0,0.6940315027062421,0.0,0.09090909090909091,0.9090909090909091,models\metadata\k03_seed10.model
3,11,0.4012607138127175,-0.10977252232512615,-1.6652685629117094,0.9333333333333333,0.0346378767431399,0.3299216429392497,0.5814385661609937,0,0,0,0,0.5937983690737658,0.030303030303030304,0.22727272727272727,0.7424242424242424,models\metadata\k03_seed11.model
3,12,0.4343599834756273,-0.07036097013037816,-1.3107189447202858,0.8833333333333333,0.07159791370317686,0.4133388598759969,0.5555495181443515,0,0,0,0,0.6705175728278515,0.0,0.13636363636363635,0.8636363636363636,models\metadata\k03_seed12.model
