representation,k,rep,sampling_seed,n_sampled,js_similarity,ari,nmi,thin_topics_lt5,zero_topics,normalized_entropy,entropy_delta,wall_seconds
metadata,2,1,1,53,0.82559,0.42531,0.40654,0,0,0.9791,-0.0209,0.2
metadata,2,2,2,53,0.82043,0.47775,0.43966,0,0,0.9687,-0.0313,0.2
metadata,2,3,3,53,0.8571,0.65158,0.57214,0,0,0.99769,-0.00231,0.2
metadata,2,4,4,53,0.80787,0.47759,0.44133,0,0,0.9791,-0.0209,0.2
metadata,2,5,5,53,0.89684,0.78225,0.73967,0,0,0.99357,-0.00643,0.2
metadata,2,6,6,53,0.84821,0.5907,0.5232,0,0,0.98738,-0.01262,0.2
metadata,2,7,7,53,0.83656,0.6516,0.5718,0,0,0.99357,-0.00643,0.2
metadata,2,8,8,53,0.9021,0.78225,0.73967,0,0,0.99357,-0.00643,0.2
metadata,2,9,9,53,0.88021,0.92451,0.88344,0,0,0.99769,-0.00231,0.2
metadata,2,10,10,53,0.90154,0.85194,0.76408,0,0,0.9791,-0.0209,0.2
metadata,2,11,11,53,0.79303,0.42514,0.35233,0,0,0.99357,-0.00643,0.2
metadata,2,12,12,53,0.86509,0.4775,0.44216,0,0,0.98738,-0.01262,0.2
metadata,2,13,13,53,0.87347,0.59064,0.52394,0,0,0.99357,-0.00643,0.2
metadata,2,14,14,53,0.88984,0.71548,0.68398,0,0,0.99357,-0.00643,0.2
metadata,2,15,15,53,0.86996,0.59063,0.49732,0,0,0.99974,-0.00026,0.2
metadata,2,16,16,53,0.84142,0.5907,0.49576,0,0,0.98738,-0.01262,0.2
metadata,2,17,17,53,0.8391,0.78223,0.69022,0,0,0.99769,-0.00231,0.2
metadata,2,18,18,53,0.85759,0.65166,0.63449,0,0,0.98738,-0.01262,0.2
metadata,2,19,19,53,0.77455,0.24594,0.28772,0,0,0.92446,-0.07554,0.2
metadata,2,20,20,53,0.86255,0.6516,0.5718,0,0,0.99357,-0.00643,0.2
metadata,2,21,21,53,0.90544,0.71548,0.68398,0,0,0.99357,-0.00643,0.2
metadata,2,22,22,53,0.86489,0.65166,0.57078,0,0,0.98738,-0.01262,0.2
metadata,2,23,23,53,0.86512,0.53265,0.48067,0,0,0.98738,-0.01262,0.2
metadata,2,24,24,53,0.89263,0.5907,0.5232,0,0,0.99974,-0.00026,0.2
metadata,2,25,25,53,0.80413,0.42525,0.40698,0,0,0.98738,-0.01262,0.2
metadata,2,26,26,53,0.87759,0.71558,0.68247,0,0,0.9791,-0.0209,0.2
metadata,2,27,27,53,0.84926,0.53258,0.43676,0,0,0.99357,-0.00643,0.2
metadata,2,28,28,53,0.81326,0.32945,0.28381,0,0,0.98738,-0.01262,0.2
metadata,2,29,29,53,0.87385,0.71548,0.68398,0,0,0.99769,-0.00231,0.2
metadata,2,30,30,53,0.88628,0.65183,0.6322,0,0,0.9687,-0.0313,0.2
metadata,2,31,31,53,0.87494,0.59064,0.52394,0,0,0.99769,-0.00231,0.2
metadata,2,32,32,53,0.80863,0.47749,0.39024,0,0,0.98738,-0.01262,0.2
metadata,2,33,33,53,0.88863,0.92451,0.88344,0,0,0.99769,-0.00231,0.2
metadata,2,34,34,53,0.89144,1.0,1.0,0,0,0.99769,-0.00231,0.2
metadata,2,35,35,53,0.87881,0.65155,0.55158,0,0,0.99974,-0.00026,0.2
metadata,2,36,36,53,0.8791,0.78224,0.73988,0,0,0.99769,-0.00231,0.2
metadata,2,37,37,53,0.85627,0.5909,0.58868,0,0,0.9687,-0.0313,0.2
metadata,2,38,38,53,0.91187,0.85191,0.80465,0,0,0.99769,-0.00231,0.2
metadata,2,39,39,53,0.88932,0.78223,0.69022,0,0,0.99769,-0.00231,0.2
metadata,2,40,40,53,0.88321,0.85191,0.80465,0,0,0.99769,-0.00231,0.2
metadata,2,41,41,53,0.86071,0.71544,0.62674,0,0,0.99974,-0.00026,0.2
metadata,2,42,42,53,0.86955,0.71544,0.62674,0,0,0.99769,-0.00231,0.2
metadata,2,43,43,53,0.87013,0.92452,0.88314,0,0,0.99357,-0.00643,0.2
metadata,2,44,44,53,0.86587,0.59063,0.49732,0,0,0.99974,-0.00026,0.2
metadata,2,45,45,53,0.89006,1.0,1.0,0,0,0.99769,-0.00231,0.2
metadata,2,46,46,53,0.90226,0.92452,0.88314,0,0,0.99357,-0.00643,0.2
metadata,2,47,47,53,0.87081,0.65156,0.55122,0,0,0.99769,-0.00231,0.2
metadata,2,48,48,53,0.89201,0.71558,0.68247,0,0,0.9791,-0.0209,0.2
metadata,2,49,49,53,0.82895,0.71548,0.68398,0,0,0.99357,-0.00643,0.2
