k,js_similarity,dominant_topic_agreement_ari,dominant_topic_agreement_nmi
2,0.9238,0.71565,0.68224
3,0.88082,0.83048,0.79605
4,0.88412,0.92889,0.91822
5,0.84657,0.81711,0.82053
