representation,k,rep,sampling_seed,n_sampled,js_similarity,ari,nmi,thin_topics_lt5,zero_topics,normalized_entropy,entropy_delta,wall_seconds
metadata,5,1,1,53,0.76755,0.79559,0.79739,1,0,0.91485,-0.01376,0.2
metadata,5,2,2,53,0.70375,0.61136,0.61251,1,0,0.90389,-0.02472,0.2
metadata,5,3,3,53,0.82494,0.79745,0.81316,1,0,0.92621,-0.00241,0.2
metadata,5,4,4,53,0.79894,0.76621,0.82529,1,0,0.94455,0.01594,0.2
metadata,5,5,5,53,0.70098,0.66297,0.6428,1,0,0.90932,-0.0193,0.2
metadata,5,6,6,53,0.81894,0.7791,0.7793,1,0,0.89558,-0.03303,0.2
metadata,5,7,7,53,0.77797,0.80199,0.79899,1,0,0.9349,0.00628,0.2
metadata,5,8,8,53,0.78097,0.73602,0.74025,0,0,0.95155,0.02293,0.2
metadata,5,9,9,53,0.80224,0.82603,0.8207,0,0,0.92355,-0.00506,0.2
metadata,5,10,10,53,0.88418,0.94547,0.95382,1,0,0.91847,-0.01014,0.2
metadata,5,11,11,53,0.72493,0.76831,0.76538,1,0,0.93813,0.00951,0.2
metadata,5,12,12,53,0.78296,0.66072,0.71366,1,0,0.89581,-0.03281,0.2
metadata,5,13,13,53,0.80936,0.78382,0.82386,1,0,0.91668,-0.01193,0.1
metadata,5,14,14,53,0.84716,0.84567,0.84445,1,0,0.86447,-0.06414,0.2
metadata,5,15,15,53,0.76124,0.77395,0.76641,0,0,0.94208,0.01347,0.2
metadata,5,16,16,53,0.79421,0.74621,0.76044,0,0,0.95802,0.02941,0.2
metadata,5,17,17,53,0.8575,0.74862,0.79463,0,0,0.95393,0.02532,0.2
metadata,5,18,18,53,0.69394,0.82069,0.77631,1,0,0.89581,-0.03281,0.2
metadata,5,19,19,53,0.7711,0.63122,0.66853,1,0,0.92886,0.00025,0.2
metadata,5,20,20,53,0.7395,0.68826,0.69932,1,0,0.93173,0.00312,0.2
metadata,5,21,21,53,0.84148,0.69483,0.71339,2,0,0.87084,-0.05778,0.2
metadata,5,22,22,53,0.80734,0.81834,0.84342,1,0,0.9124,-0.01621,0.2
metadata,5,23,23,53,0.78396,0.68999,0.69251,1,0,0.93669,0.00808,0.2
metadata,5,24,24,53,0.7672,0.88889,0.85865,1,0,0.92576,-0.00286,0.2
metadata,5,25,25,53,0.84649,0.88399,0.88071,0,0,0.93855,0.00994,0.2
metadata,5,26,26,53,0.76235,0.80924,0.81117,1,0,0.94777,0.01916,0.2
metadata,5,27,27,53,0.87746,0.89951,0.91385,1,0,0.94019,0.01158,0.2
metadata,5,28,28,53,0.77412,0.83986,0.83629,1,0,0.92753,-0.00108,0.2
metadata,5,29,29,53,0.7493,0.67151,0.6633,1,0,0.92565,-0.00297,0.2
metadata,5,30,30,53,0.69459,0.77136,0.72658,2,0,0.89765,-0.03096,0.2
metadata,5,31,31,53,0.73637,0.76873,0.77757,1,0,0.94335,0.01474,0.2
metadata,5,32,32,53,0.80376,0.76825,0.79029,1,0,0.94207,0.01346,0.2
metadata,5,33,33,53,0.82876,0.8531,0.85907,1,0,0.92119,-0.00742,0.2
metadata,5,34,34,53,0.84079,0.83909,0.85204,1,0,0.91718,-0.01144,0.2
metadata,5,35,35,53,0.76739,0.81822,0.82151,1,0,0.9136,-0.01502,0.2
metadata,5,36,36,53,0.7239,0.76398,0.76685,1,0,0.90467,-0.02395,0.2
metadata,5,37,37,53,0.84404,0.71582,0.75791,1,0,0.88536,-0.04326,0.2
metadata,5,38,38,53,0.85033,1.0,1.0,1,0,0.89798,-0.03063,0.2
metadata,5,39,39,53,0.87453,0.86395,0.8753,1,0,0.93669,0.00808,0.2
metadata,5,40,40,53,0.8782,0.90254,0.91326,1,0,0.92565,-0.00297,0.2
metadata,5,41,41,53,0.72354,0.74406,0.73924,1,0,0.91179,-0.01682,0.2
metadata,5,42,42,53,0.78628,0.78429,0.81096,0,0,0.95438,0.02576,0.2
metadata,5,43,43,53,0.85095,0.70562,0.76416,1,0,0.92317,-0.00545,0.2
metadata,5,44,44,53,0.85191,0.78687,0.80724,1,0,0.93139,0.00277,0.2
metadata,5,45,45,53,0.83557,0.85509,0.88531,1,0,0.91403,-0.01459,0.2
metadata,5,46,46,53,0.80744,0.67875,0.67695,1,0,0.92422,-0.00439,0.2
metadata,5,47,47,53,0.83284,0.77627,0.80721,0,0,0.94026,0.01165,0.2
metadata,5,48,48,53,0.72674,0.64903,0.66971,1,0,0.87616,-0.05245,0.2
metadata,5,49,49,53,0.67889,0.7346,0.71732,1,0,0.88889,-0.03973,0.2
metadata,5,50,50,53,0.75465,0.71324,0.70516,1,0,0.89968,-0.02893,0.2
metadata,5,51,51,53,0.6829,0.7358,0.72634,1,0,0.88654,-0.04207,0.2
metadata,5,52,52,53,0.78522,0.76956,0.7574,1,0,0.93608,0.00747,0.2
